Time,Solar altitude,Solar azimute,Between angle,Temperature,Ground temperature,Insolation,Insolation to wall(W/m2),Wind velocity(m/s),h_c
2022-6-22 0:0:0,-28.5826218232622,171.39057719564974,171.39057719564974,23.6,24.6,,0.0,1.4,16.6588
2022-6-22 0:0:10,-28.5826218232622,171.39057719564974,171.39057719564974,23.6,24.6,,0.0,1.4,16.6588
2022-6-22 0:0:20,-28.5826218232622,171.39057719564974,171.39057719564974,23.6,24.6,,0.0,1.4,16.6588
2022-6-22 0:0:30,-28.5826218232622,171.39057719564974,171.39057719564974,23.6,24.6,,0.0,1.4,16.6588
2022-6-22 0:0:40,-28.5826218232622,171.39057719564974,171.39057719564974,23.59,24.6,,0.0,1.4,16.6588
2022-6-22 0:0:50,-28.5826218232622,171.39057719564974,171.39057719564974,23.59,24.59,,0.0,1.4,16.6588
2022-6-22 0:1:0,-28.61187785230649,171.64966629414943,171.64966629414943,23.59,24.59,,0.0,1.4,16.6588
2022-6-22 0:1:10,-28.61187785230649,171.64966629414943,171.64966629414943,23.59,24.59,,0.0,1.39,16.61688
2022-6-22 0:1:20,-28.61187785230649,171.64966629414943,171.64966629414943,23.59,24.59,,0.0,1.39,16.61688
2022-6-22 0:1:30,-28.61187785230649,171.64966629414943,171.64966629414943,23.59,24.59,,0.0,1.39,16.61688
2022-6-22 0:1:40,-28.61187785230649,171.64966629414943,171.64966629414943,23.58,24.59,,0.0,1.39,16.61688
2022-6-22 0:1:50,-28.61187785230649,171.64966629414943,171.64966629414943,23.58,24.59,,0.0,1.39,16.61688
2022-6-22 0:2:0,-28.640245909094194,171.9089545690546,171.9089545690546,23.58,24.59,,0.0,1.39,16.61688
2022-6-22 0:2:10,-28.640245909094194,171.9089545690546,171.9089545690546,23.58,24.59,,0.0,1.39,16.61688
2022-6-22 0:2:20,-28.640245909094194,171.9089545690546,171.9089545690546,23.58,24.58,,0.0,1.39,16.61688
2022-6-22 0:2:30,-28.640245909094194,171.9089545690546,171.9089545690546,23.58,24.58,,0.0,1.39,16.61688
2022-6-22 0:2:40,-28.640245909094194,171.9089545690546,171.9089545690546,23.57,24.58,,0.0,1.39,16.61688
2022-6-22 0:2:50,-28.640245909094194,171.9089545690546,171.9089545690546,23.57,24.58,,0.0,1.39,16.61688
2022-6-22 0:3:0,-28.66772474011282,172.16843615925268,172.16843615925268,23.57,24.58,,0.0,1.39,16.61688
2022-6-22 0:3:10,-28.66772474011282,172.16843615925268,172.16843615925268,23.57,24.58,,0.0,1.38,16.574959999999997
2022-6-22 0:3:20,-28.66772474011282,172.16843615925268,172.16843615925268,23.57,24.58,,0.0,1.38,16.574959999999997
2022-6-22 0:3:30,-28.66772474011282,172.16843615925268,172.16843615925268,23.57,24.58,,0.0,1.38,16.574959999999997
2022-6-22 0:3:40,-28.66772474011282,172.16843615925268,172.16843615925268,23.56,24.58,,0.0,1.38,16.574959999999997
2022-6-22 0:3:50,-28.66772474011282,172.16843615925268,172.16843615925268,23.56,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:4:0,-28.69431312894708,172.42810516905772,172.42810516905772,23.56,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:4:10,-28.69431312894708,172.42810516905772,172.42810516905772,23.56,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:4:20,-28.69431312894708,172.42810516905772,172.42810516905772,23.56,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:4:30,-28.69431312894708,172.42810516905772,172.42810516905772,23.55,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:4:40,-28.69431312894708,172.42810516905772,172.42810516905772,23.55,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:4:50,-28.69431312894708,172.42810516905772,172.42810516905772,23.55,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:5:0,-28.72000989653794,172.68795566917578,172.68795566917578,23.55,24.57,,0.0,1.38,16.574959999999997
2022-6-22 0:5:10,-28.72000989653794,172.68795566917578,172.68795566917578,23.55,24.57,,0.0,1.37,16.53304
2022-6-22 0:5:20,-28.72000989653794,172.68795566917578,172.68795566917578,23.55,24.56,,0.0,1.37,16.53304
2022-6-22 0:5:30,-28.72000989653794,172.68795566917578,172.68795566917578,23.55,24.56,,0.0,1.37,16.53304
2022-6-22 0:5:40,-28.72000989653794,172.68795566917578,172.68795566917578,23.54,24.56,,0.0,1.37,16.53304
2022-6-22 0:5:50,-28.72000989653794,172.68795566917578,172.68795566917578,23.54,24.56,,0.0,1.37,16.53304
2022-6-22 0:6:0,-28.744813901434515,172.9479816976856,172.9479816976856,23.54,24.56,,0.0,1.37,16.53304
2022-6-22 0:6:10,-28.744813901434515,172.9479816976856,172.9479816976856,23.54,24.56,,0.0,1.37,16.53304
2022-6-22 0:6:20,-28.744813901434515,172.9479816976856,172.9479816976856,23.54,24.56,,0.0,1.37,16.53304
2022-6-22 0:6:30,-28.744813901434515,172.9479816976856,172.9479816976856,23.54,24.56,,0.0,1.37,16.53304
2022-6-22 0:6:40,-28.744813901434515,172.9479816976856,172.9479816976856,23.53,24.56,,0.0,1.37,16.53304
2022-6-22 0:6:50,-28.744813901434515,172.9479816976856,172.9479816976856,23.53,24.55,,0.0,1.37,16.53304
2022-6-22 0:7:0,-28.76872404003874,173.20817726103326,173.20817726103326,23.53,24.55,,0.0,1.36,16.49112
2022-6-22 0:7:10,-28.76872404003874,173.20817726103326,173.20817726103326,23.53,24.55,,0.0,1.36,16.49112
2022-6-22 0:7:20,-28.76872404003874,173.20817726103326,173.20817726103326,23.53,24.55,,0.0,1.36,16.49112
2022-6-22 0:7:30,-28.76872404003874,173.20817726103326,173.20817726103326,23.53,24.55,,0.0,1.36,16.49112
2022-6-22 0:7:40,-28.76872404003874,173.20817726103326,173.20817726103326,23.52,24.55,,0.0,1.36,16.49112
2022-6-22 0:7:50,-28.76872404003874,173.20817726103326,173.20817726103326,23.52,24.55,,0.0,1.36,16.49112
2022-6-22 0:8:0,-28.79173924684241,173.46853633503966,173.46853633503966,23.52,24.55,,0.0,1.36,16.49112
2022-6-22 0:8:10,-28.79173924684241,173.46853633503966,173.46853633503966,23.52,24.55,,0.0,1.36,16.49112
2022-6-22 0:8:20,-28.79173924684241,173.46853633503966,173.46853633503966,23.52,24.54,,0.0,1.36,16.49112
2022-6-22 0:8:30,-28.79173924684241,173.46853633503966,173.46853633503966,23.52,24.54,,0.0,1.36,16.49112
2022-6-22 0:8:40,-28.79173924684241,173.46853633503966,173.46853633503966,23.51,24.54,,0.0,1.36,16.49112
2022-6-22 0:8:50,-28.79173924684241,173.46853633503966,173.46853633503966,23.51,24.54,,0.0,1.36,16.49112
2022-6-22 0:9:0,-28.813858494656806,173.7290528659215,173.7290528659215,23.51,24.54,,0.0,1.35,16.449199999999998
2022-6-22 0:9:10,-28.813858494656806,173.7290528659215,173.7290528659215,23.51,24.54,,0.0,1.35,16.449199999999998
2022-6-22 0:9:20,-28.813858494656806,173.7290528659215,173.7290528659215,23.51,24.54,,0.0,1.35,16.449199999999998
2022-6-22 0:9:30,-28.813858494656806,173.7290528659215,173.7290528659215,23.51,24.54,,0.0,1.35,16.449199999999998
2022-6-22 0:9:40,-28.813858494656806,173.7290528659215,173.7290528659215,23.5,24.54,,0.0,1.35,16.449199999999998
2022-6-22 0:9:50,-28.813858494656806,173.7290528659215,173.7290528659215,23.5,24.53,,0.0,1.35,16.449199999999998
2022-6-22 0:10:0,-28.83508079483455,173.98972077132422,173.98972077132422,23.5,24.53,,0.0,1.35,16.449199999999998
2022-6-22 0:10:10,-28.83508079483455,173.98972077132422,173.98972077132422,23.5,24.53,,0.0,1.35,16.449199999999998
2022-6-22 0:10:20,-28.83508079483455,173.98972077132422,173.98972077132422,23.5,24.53,,0.0,1.35,16.449199999999998
2022-6-22 0:10:30,-28.83508079483455,173.98972077132422,173.98972077132422,23.5,24.53,,0.0,1.35,16.449199999999998
2022-6-22 0:10:40,-28.83508079483455,173.98972077132422,173.98972077132422,23.49,24.53,,0.0,1.35,16.449199999999998
2022-6-22 0:10:50,-28.83508079483455,173.98972077132422,173.98972077132422,23.49,24.53,,0.0,1.35,16.449199999999998
2022-6-22 0:11:0,-28.855405197483737,174.2505339413683,174.2505339413683,23.49,24.53,,0.0,1.34,16.40728
2022-6-22 0:11:10,-28.855405197483737,174.2505339413683,174.2505339413683,23.49,24.53,,0.0,1.34,16.40728
2022-6-22 0:11:20,-28.855405197483737,174.2505339413683,174.2505339413683,23.49,24.52,,0.0,1.34,16.40728
2022-6-22 0:11:30,-28.855405197483737,174.2505339413683,174.2505339413683,23.48,24.52,,0.0,1.34,16.40728
2022-6-22 0:11:40,-28.855405197483737,174.2505339413683,174.2505339413683,23.48,24.52,,0.0,1.34,16.40728
2022-6-22 0:11:50,-28.855405197483737,174.2505339413683,174.2505339413683,23.48,24.52,,0.0,1.34,16.40728
2022-6-22 0:12:0,-28.87483079167411,174.51148623970607,174.51148623970607,23.48,24.52,,0.0,1.34,16.40728
2022-6-22 0:12:10,-28.87483079167411,174.51148623970607,174.51148623970607,23.48,24.52,,0.0,1.34,16.40728
2022-6-22 0:12:20,-28.87483079167411,174.51148623970607,174.51148623970607,23.48,24.52,,0.0,1.34,16.40728
2022-6-22 0:12:30,-28.87483079167411,174.51148623970607,174.51148623970607,23.48,24.52,,0.0,1.34,16.40728
