Time,Solar altitude,Solar azimute,Between angle,Temperature,Ground temperature,Insolation,Insolation to wall(W/m2),Wind velocity(m/s),h_c
2023-4-1 0:0:0,-47.67889659765998,166.67797781427637,166.67797781427637,13.4,9.2,,0.0,0.0,10.79
2023-4-1 0:0:10,-47.67889659765998,166.67797781427637,166.67797781427637,13.4,9.2,,0.0,0.0,10.79
2023-4-1 0:0:20,-47.67889659765998,166.67797781427637,166.67797781427637,13.4,9.2,,0.0,0.0,10.79
2023-4-1 0:0:30,-47.67889659765998,166.67797781427637,166.67797781427637,13.39,9.19,,0.0,0.0,10.79
2023-4-1 0:0:40,-47.67889659765998,166.67797781427637,166.67797781427637,13.39,9.19,,0.0,0.0,10.79
2023-4-1 0:0:50,-47.67889659765998,166.67797781427637,166.67797781427637,13.39,9.19,,0.0,0.0,10.79
2023-4-1 0:1:0,-47.723997793265966,167.04242986019105,167.04242986019105,13.39,9.19,,0.0,0.0,10.79
2023-4-1 0:1:10,-47.723997793265966,167.04242986019105,167.04242986019105,13.38,9.18,,0.0,0.0,10.79
2023-4-1 0:1:20,-47.723997793265966,167.04242986019105,167.04242986019105,13.38,9.18,,0.0,0.0,10.79
2023-4-1 0:1:30,-47.723997793265966,167.04242986019105,167.04242986019105,13.38,9.18,,0.0,0.0,10.79
2023-4-1 0:1:40,-47.723997793265966,167.04242986019105,167.04242986019105,13.38,9.18,,0.0,0.0,10.79
2023-4-1 0:1:50,-47.723997793265966,167.04242986019105,167.04242986019105,13.38,9.18,,0.0,0.0,10.79
2023-4-1 0:2:0,-47.7678680574905,167.40752514420168,167.40752514420168,13.37,9.17,,0.0,0.0,10.79
2023-4-1 0:2:10,-47.7678680574905,167.40752514420168,167.40752514420168,13.37,9.17,,0.0,0.0,10.79
2023-4-1 0:2:20,-47.7678680574905,167.40752514420168,167.40752514420168,13.37,9.17,,0.0,0.0,10.79
2023-4-1 0:2:30,-47.7678680574905,167.40752514420168,167.40752514420168,13.37,9.17,,0.0,0.0,10.79
2023-4-1 0:2:40,-47.7678680574905,167.40752514420168,167.40752514420168,13.36,9.16,,0.0,0.0,10.79
2023-4-1 0:2:50,-47.7678680574905,167.40752514420168,167.40752514420168,13.36,9.16,,0.0,0.0,10.79
2023-4-1 0:3:0,-47.81050346359239,167.7732478452146,167.7732478452146,13.36,9.16,,0.0,0.0,10.79
2023-4-1 0:3:10,-47.81050346359239,167.7732478452146,167.7732478452146,13.36,9.16,,0.0,0.0,10.79
2023-4-1 0:3:20,-47.81050346359239,167.7732478452146,167.7732478452146,13.36,9.16,,0.0,0.0,10.79
2023-4-1 0:3:30,-47.81050346359239,167.7732478452146,167.7732478452146,13.35,9.15,,0.0,0.0,10.79
2023-4-1 0:3:40,-47.81050346359239,167.7732478452146,167.7732478452146,13.35,9.15,,0.0,0.0,10.79
2023-4-1 0:3:50,-47.81050346359239,167.7732478452146,167.7732478452146,13.35,9.15,,0.0,0.0,10.79
2023-4-1 0:4:0,-47.851900179827794,168.13958192417797,168.13958192417797,13.35,9.15,,0.0,0.0,10.79
2023-4-1 0:4:10,-47.851900179827794,168.13958192417797,168.13958192417797,13.34,9.14,,0.0,0.0,10.79
2023-4-1 0:4:20,-47.851900179827794,168.13958192417797,168.13958192417797,13.34,9.14,,0.0,0.0,10.79
2023-4-1 0:4:30,-47.851900179827794,168.13958192417797,168.13958192417797,13.34,9.14,,0.0,0.0,10.79
2023-4-1 0:4:40,-47.851900179827794,168.13958192417797,168.13958192417797,13.34,9.14,,0.0,0.0,10.79
2023-4-1 0:4:50,-47.851900179827794,168.13958192417797,168.13958192417797,13.34,9.14,,0.0,0.0,10.79
2023-4-1 0:5:0,-47.89205447105275,168.50651112834785,168.50651112834785,13.33,9.13,,0.0,0.0,10.79
2023-4-1 0:5:10,-47.89205447105275,168.50651112834785,168.50651112834785,13.33,9.13,,0.0,0.0,10.79
