瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),老炼(hr),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2023-03-28 0:00,5.7,,2.3,,,5.8
156,堡林,2023-03-28 1:00,5,,1.5,,,5.3
156,堡林,2023-03-28 2:00,4.8,,0.4,,,4.7
156,堡林,2023-03-28 3:00,4.3,,0,,,4.3
156,堡林,2023-03-28 4:00,3.7,,0.6,,,3.9
156,堡林,2023-03-28 5:00,3.6,,0,,,3.8
156,堡林,2023-03-28 6:00,3.5,,0.6,,,3.8
156,堡林,2023-03-28 7:00,3.5,,0,0,0.1,4
156,堡林,2023-03-28 8:00,5,,0.3,0.7,0.53,5.7
156,堡林,2023-03-28 9:00,7.5,,0.6,1,1.2,10
156,堡林,2023-03-28 10:00,9.8,,0,1,1.78,14.2
156,堡林,2023-03-28 11:00,11.7,,1,1,2.39,18
156,堡林,2023-03-28 12:00,14.3,,1,1,2.8,21.1
156,堡林,2023-03-28 13:00,16,,0.8,1,2.9,23.3
156,堡林,2023-03-28 14:00,17,,0,0.6,2.13,22.5
156,堡林,2023-03-28 15:00,16.1,,1,0.5,1.66,21
156,堡林,2023-03-28 16:00,17,,2,0.6,1.6,20.8
156,堡林,2023-03-28 17:00,15.7,,1.7,0.4,1.13,18.5
156,堡林,2023-03-28 18:00,15.3,,1.9,0,0.45,15.8
156,堡林,2023-03-28 19:00,14.1,,1.8,0,0.15,13.1
156,堡林,2023-03-28 20:00,12,,1.1,,,11.3
156,堡林,2023-03-28 21:00,10.4,,0.6,,,9.8
156,堡林,2023-03-28 22:00,10.2,,0,,,8.7
156,堡林,2023-03-28 23:00,9.4,,0,,,7.9
156,堡林,2023-03-29 0:00,9.2,,0.6,,,7.3
156,堡林,2023-03-29 1:00,7.7,,0,,,6.7
156,堡林,2023-03-29 2:00,7.1,,0,,,6.2
156,堡林,2023-03-29 3:00,6.6,,0,,,5.7
156,堡林,2023-03-29 4:00,5.6,,0,,,5.3
156,堡林,2023-03-29 5:00,5.2,,0,,,4.8
156,堡林,2023-03-29 6:00,4.7,,0,,,4.5
156,堡林,2023-03-29 7:00,4.9,,0,0,0.11,4.7
156,堡林,2023-03-29 8:00,5.7,,0,0.9,0.56,6.3
156,堡林,2023-03-29 9:00,8.1,,0,1,1.22,11.4
156,堡林,2023-03-29 10:00,11.3,,0.3,1,2.09,16.8
156,堡林,2023-03-29 11:00,16.2,,1,1,2.81,21.6
156,堡林,2023-03-29 12:00,18.5,,0,1,3.11,25
156,堡林,2023-03-29 13:00,20,,1.2,1,3.32,27.3
156,堡林,2023-03-29 14:00,21,,1.1,1,3.21,28.1
156,堡林,2023-03-29 15:00,21.5,,0.5,1,2.82,27.6
156,堡林,2023-03-29 16:00,21.2,,0.6,1,2.25,25.9
156,堡林,2023-03-29 17:00,21.3,,1.2,1,1.55,22.6
156,堡林,2023-03-29 18:00,20.2,,1.5,1,0.79,18.6
156,堡林,2023-03-29 19:00,17.9,,0.8,0.3,0.17,15.6
156,堡林,2023-03-29 20:00,15.3,,2.6,,,13.7
156,堡林,2023-03-29 21:00,13.3,,1.7,,,12.2
156,堡林,2023-03-29 22:00,12.7,,0.9,,,11.1
156,堡林,2023-03-29 23:00,11.8,,1,,,10.1
156,堡林,2023-03-30 0:00,10.5,,0.8,,,9.3
156,堡林,2023-03-30 1:00,9.7,,0.2,,,8.7
156,堡林,2023-03-30 2:00,9.1,,0.1,,,8.1
156,堡林,2023-03-30 3:00,8.7,,0,,,7.7
156,堡林,2023-03-30 4:00,8.2,,0,,,7.3
156,堡林,2023-03-30 5:00,7.7,,0,,,6.9
156,堡林,2023-03-30 6:00,7.3,,0,,,6.5
156,堡林,2023-03-30 7:00,7.1,,0,0,0.1,6.6
156,堡林,2023-03-30 8:00,8.4,,0,0.9,0.56,8.3
