瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2023-04-01 0:00,13.4,,0,,9.2
156,堡林,2023-04-01 1:00,12.6,,0,,8.4
156,堡林,2023-04-01 2:00,11.6,,0,,7.8
156,堡林,2023-04-01 3:00,10.9,,0,,7.3
156,堡林,2023-04-01 4:00,10.2,,0,,6.8
156,堡林,2023-04-01 5:00,9.5,,0,,6.3
156,堡林,2023-04-01 6:00,9,,0,,6
156,堡林,2023-04-01 7:00,9.1,,0,0.12,6.3
156,堡林,2023-04-01 8:00,10.7,,0,0.65,8.6
156,堡林,2023-04-01 9:00,14,,0,1.32,16.3
156,堡林,2023-04-01 10:00,17.8,,0,2.15,24.4
156,堡林,2023-04-01 11:00,21.5,,0,2.72,30.7
156,堡林,2023-04-01 12:00,23.5,,0.1,2.86,33.7
156,堡林,2023-04-01 13:00,25.2,,2.1,3.16,38.2
156,堡林,2023-04-01 14:00,25.7,,2.1,3.15,38.5
156,堡林,2023-04-01 15:00,25.6,,2.8,2.52,36.4
156,堡林,2023-04-01 16:00,26.1,,1.1,2.28,34.5
156,堡林,2023-04-01 17:00,23,,2.1,1.57,28.1
156,堡林,2023-04-01 18:00,21.2,,0.8,0.74,21.5
156,堡林,2023-04-01 19:00,19.2,,2.1,0.17,16.9
156,堡林,2023-04-01 20:00,17.9,,0.6,,14.4
156,堡林,2023-04-01 21:00,16.7,,0.9,,12.6
156,堡林,2023-04-01 22:00,16.5,,0.6,,11.4
156,堡林,2023-04-01 23:00,15,,0,,10.4
156,堡林,2023-04-02 0:00,14.1,,0,,9.6
156,堡林,2023-04-02 1:00,13.6,,0,,9.1
156,堡林,2023-04-02 2:00,13,,0,,8.7
156,堡林,2023-04-02 3:00,12,,0,,8.2
156,堡林,2023-04-02 4:00,11.1,,0,,7.7
156,堡林,2023-04-02 5:00,10.7,,0,,7.4
156,堡林,2023-04-02 6:00,10.1,,0,,6.8
156,堡林,2023-04-02 7:00,9.7,,0,0.12,7.2
156,堡林,2023-04-02 8:00,13.8,,0.7,0.67,9.5
156,堡林,2023-04-02 9:00,16.8,,2.7,1.47,18.3
156,堡林,2023-04-02 10:00,19.5,,2.7,2.21,25.9
156,堡林,2023-04-02 11:00,21,,2.9,2.81,31.8
156,堡林,2023-04-02 12:00,22.2,,2.1,3.18,35.9
156,堡林,2023-04-02 13:00,23.6,,3.7,3.35,38.3
156,堡林,2023-04-02 14:00,24.7,,3.8,3.32,39.2
156,堡林,2023-04-02 15:00,24.3,,3.3,3,37.3
156,堡林,2023-04-02 16:00,24.8,,3.7,2.43,34.5
156,堡林,2023-04-02 17:00,23.8,,3.3,1.7,28.9
156,堡林,2023-04-02 18:00,22.1,,3.8,0.89,21.7
156,堡林,2023-04-02 19:00,19.4,,1.3,0.19,17.5
156,堡林,2023-04-02 20:00,17.9,,2.2,,15
156,堡林,2023-04-02 21:00,17.2,,0.2,,13.2
156,堡林,2023-04-02 22:00,16.4,,0.8,,11.9
156,堡林,2023-04-02 23:00,14.7,,2.9,,10.6
156,堡林,2023-04-03 0:00,15.1,,0.7,,9.5
156,堡林,2023-04-03 1:00,13.7,,2.3,,8.7
156,堡林,2023-04-03 2:00,13.3,,2,,8.2
156,堡林,2023-04-03 3:00,12.8,,1.8,,7.8
156,堡林,2023-04-03 4:00,13.1,,0.8,,7.4
156,堡林,2023-04-03 5:00,10.7,,1.9,,6.9
156,堡林,2023-04-03 6:00,10.8,,1.7,,6.5
156,堡林,2023-04-03 7:00,11.2,,2.2,0.13,6.9
156,堡林,2023-04-03 8:00,13.4,,1.8,0.73,9
156,堡林,2023-04-03 9:00,16.7,,3.3,1.56,18.8
156,堡林,2023-04-03 10:00,18.7,,3.8,2.28,26.3
156,堡林,2023-04-03 11:00,21.2,,4.1,2.82,31.1
156,堡林,2023-04-03 12:00,23.6,,2.4,3.14,36.7
156,堡林,2023-04-03 13:00,24.3,,3.6,3.46,39.1
156,堡林,2023-04-03 14:00,24.7,,3.9,3.32,39
156,堡林,2023-04-03 15:00,24.6,,3.1,3.04,37.5
156,堡林,2023-04-03 16:00,24.8,,2.1,2.25,33.7
156,堡林,2023-04-03 17:00,23.4,,2.1,1.37,27.4
156,堡林,2023-04-03 18:00,22.1,,1.3,0.63,21.3
156,堡林,2023-04-03 19:00,21,,2.8,0.14,17.4
156,堡林,2023-04-03 20:00,18.9,,2.7,,15.5
156,堡林,2023-04-03 21:00,17.5,,2.2,,14.7
156,堡林,2023-04-03 22:00,17.2,,0.8,,13.7
156,堡林,2023-04-03 23:00,16.1,,0.9,,13.2
156,堡林,2023-04-04 0:00,14.9,,0.4,,12.7
