瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2022-10-23 0:00,13.9,,0.5,,11.1
156,堡林,2022-10-23 1:00,13.6,,0.7,,10.8
156,堡林,2022-10-23 2:00,13.7,,0.4,,10.9
156,堡林,2022-10-23 3:00,13.7,,0.7,,11.7
156,堡林,2022-10-23 4:00,13.3,,0.6,,11.3
156,堡林,2022-10-23 5:00,13.3,,0.7,,12.6
156,堡林,2022-10-23 6:00,12.7,,0,,11
156,堡林,2022-10-23 7:00,12.4,,0.1,0.06,10.9
156,堡林,2022-10-23 8:00,13,,0.5,0.27,12.2
156,堡林,2022-10-23 9:00,15,,1.2,0.92,15.9
156,堡林,2022-10-23 10:00,16.9,,1.4,1.44,20.8
156,堡林,2022-10-23 11:00,17.7,,2.4,2.09,27.3
156,堡林,2022-10-23 12:00,18.6,,1.8,2.25,31
156,堡林,2022-10-23 13:00,19.3,,1.7,2.45,34.3
156,堡林,2022-10-23 14:00,19.8,,2.1,2.35,34.9
156,堡林,2022-10-23 15:00,19,,2.2,2.01,33.7
156,堡林,2022-10-23 16:00,18.3,,2,1.46,29.7
156,堡林,2022-10-23 17:00,16.5,,1.9,0.76,19.3
156,堡林,2022-10-23 18:00,15,,2,0.19,15.4
156,堡林,2022-10-23 19:00,13.9,,2.1,,13.2
156,堡林,2022-10-23 20:00,13.1,,1,,12
156,堡林,2022-10-23 21:00,12.7,,1.1,,10.4
156,堡林,2022-10-23 22:00,12.4,,0.7,,9.3
156,堡林,2022-10-23 23:00,12.1,,1,,8.6
156,堡林,2022-10-24 0:00,11.1,,1,,8
156,堡林,2022-10-24 1:00,11.1,,0.6,,7.5
156,堡林,2022-10-24 2:00,10.9,,0.2,,7.1
156,堡林,2022-10-24 3:00,10.7,,0,,6.8
156,堡林,2022-10-24 4:00,10.7,,0.2,,6.7
