瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2022-04-15 0:00,14.8,,1.5,,15.7
156,堡林,2022-04-15 1:00,14.4,,1.2,,15.4
156,堡林,2022-04-15 2:00,13.8,,2,,14.8
156,堡林,2022-04-15 3:00,13.4,,2.2,,14.2
156,堡林,2022-04-15 4:00,12.8,,2.5,,13.2
156,堡林,2022-04-15 5:00,11.6,,1.4,,11.5
156,堡林,2022-04-15 6:00,10.9,,0.8,,10.2
156,堡林,2022-04-15 7:00,10.9,,2,0.22,10.6
156,堡林,2022-04-15 8:00,12.2,,2,0.9,12.6
156,堡林,2022-04-15 9:00,14.4,,2.3,1.69,19.3
156,堡林,2022-04-15 10:00,15.5,,2,2.42,26.2
156,堡林,2022-04-15 11:00,17.3,,1.5,3.01,32.2
156,堡林,2022-04-15 12:00,18.4,,1.4,3.24,36.4
156,堡林,2022-04-15 13:00,19.8,,1.9,3.49,39.8
156,堡林,2022-04-15 14:00,20,,2.7,3.43,40.3
156,堡林,2022-04-15 15:00,19.9,,2.8,3.1,39.5
156,堡林,2022-04-15 16:00,19.2,,4.1,2.48,35.3
156,堡林,2022-04-15 17:00,17.7,,2,1.75,30.2
156,堡林,2022-04-15 18:00,15.9,,1.9,0.91,22.8
156,堡林,2022-04-15 19:00,14.2,,1.9,0.29,17.5
156,堡林,2022-04-15 20:00,12.7,,1.3,0.05,14.5
156,堡林,2022-04-15 21:00,11.7,,1.4,,12.8
156,堡林,2022-04-15 22:00,10.9,,0.7,,11.5
156,堡林,2022-04-15 23:00,10.7,,0.1,,10.3
156,堡林,2022-04-16 0:00,10.4,,0.1,,10.1
156,堡林,2022-04-16 1:00,10,,0,,9.6
156,堡林,2022-04-16 2:00,9.1,,0.3,,8.8
156,堡林,2022-04-16 3:00,8.6,,0.5,,8.2
156,堡林,2022-04-16 4:00,7.8,,0.7,,7.7
156,堡林,2022-04-16 5:00,8.1,,0.5,,7.3
156,堡林,2022-04-16 6:00,7.5,,0.1,0.05,7
156,堡林,2022-04-16 7:00,8.2,,0,0.23,8.5
156,堡林,2022-04-16 8:00,10.2,,1,0.88,11.7
156,堡林,2022-04-16 9:00,12.5,,1.4,1.52,18.2
156,堡林,2022-04-16 10:00,14.1,,1.3,2.19,25.4
156,堡林,2022-04-16 11:00,16.7,,1.5,2.87,32.7
156,堡林,2022-04-16 12:00,18.5,,2.9,3.41,37.5
156,堡林,2022-04-16 13:00,19.3,,1.7,3.6,41.3
156,堡林,2022-04-16 14:00,19.8,,2,3.47,42.4
156,堡林,2022-04-16 15:00,19.7,,3,3.09,41.2
156,堡林,2022-04-16 16:00,19,,2.6,2.52,37
156,堡林,2022-04-16 17:00,18,,2.9,1.8,31.2
156,堡林,2022-04-16 18:00,16.6,,1.4,1.05,23.1
156,堡林,2022-04-16 19:00,14.9,,1.1,0.3,17.1
156,堡林,2022-04-16 20:00,14,,1.3,0.05,14
156,堡林,2022-04-16 21:00,12.8,,0.2,,12.2
156,堡林,2022-04-16 22:00,12.4,,0.3,,10.6
156,堡林,2022-04-16 23:00,10.9,,0.4,,9.3
156,堡林,2022-04-17 0:00,10.5,,0.6,,8.3
156,堡林,2022-04-17 1:00,10.2,,0.7,,8
156,堡林,2022-04-17 2:00,9.3,,0.2,,7.5
156,堡林,2022-04-17 3:00,8.6,,0.7,,7
156,堡林,2022-04-17 4:00,7.8,,0.3,,6.4
156,堡林,2022-04-17 5:00,7.3,,0,,5.6
156,堡林,2022-04-17 6:00,5.9,,1.5,0.05,5
156,堡林,2022-04-17 7:00,6.5,,0.4,0.26,5.9
156,堡林,2022-04-17 8:00,8.9,,0.7,0.96,8.8
156,堡林,2022-04-17 9:00,11.1,,0.8,1.8,17.8
156,堡林,2022-04-17 10:00,13.5,,1.1,2.54,26.8
156,堡林,2022-04-17 11:00,16.1,,1.3,3.12,34.2
156,堡林,2022-04-17 12:00,18.6,,1.4,3.46,38.9
156,堡林,2022-04-17 13:00,20.1,,1.8,3.58,42.7
156,堡林,2022-04-17 14:00,21.6,,2.2,3.46,43.6
156,堡林,2022-04-17 15:00,21.1,,2,3.14,42.7
156,堡林,2022-04-17 16:00,21.4,,1.8,2.55,39
156,堡林,2022-04-17 17:00,20.5,,2.7,1.72,31.8
156,堡林,2022-04-17 18:00,18.8,,1.7,0.95,24.8
156,堡林,2022-04-17 19:00,16.4,,1,0.28,17.9
156,堡林,2022-04-17 20:00,15,,1.4,0.05,15.3
156,堡林,2022-04-17 21:00,13.9,,1.2,,13.8
156,堡林,2022-04-17 22:00,13.7,,1,,12.1
156,堡林,2022-04-17 23:00,13.5,,0.5,,11.1
156,堡林,2022-04-18 0:00,12.7,,0.6,,11.3
156,堡林,2022-04-18 1:00,11.8,,0.4,,11.5
156,堡林,2022-04-18 2:00,11.4,,0.6,,11.1
156,堡林,2022-04-18 3:00,11.2,,0.3,,10.6
156,堡林,2022-04-18 4:00,10.9,,0.9,,9.9
156,堡林,2022-04-18 5:00,10.3,,0.4,,9.6
156,堡林,2022-04-18 6:00,10.5,,0,0.05,10.1
156,堡林,2022-04-18 7:00,10.8,,0.4,0.18,11.6
156,堡林,2022-04-18 8:00,12.4,,0,0.66,13.8
156,堡林,2022-04-18 9:00,16.6,,0.9,1.55,21.2
156,堡林,2022-04-18 10:00,19,,2.6,2.23,27.9
156,堡林,2022-04-18 11:00,21.4,,1.6,2.86,36.3
156,堡林,2022-04-18 12:00,22.4,,1.6,3.03,38.8
156,堡林,2022-04-18 13:00,22,,1.4,2.39,35.4
156,堡林,2022-04-18 14:00,22,,2.5,2.08,36.4
156,堡林,2022-04-18 15:00,22.2,,1.9,1.96,35.5
156,堡林,2022-04-18 16:00,22.9,,1.9,2.11,36.3
156,堡林,2022-04-18 17:00,22.7,,2.2,1.68,33.3
156,堡林,2022-04-18 18:00,20,,1.9,0.91,24.7
156,堡林,2022-04-18 19:00,18,,1.6,0.24,18.7
156,堡林,2022-04-18 20:00,16,,0.8,0.04,15.2
156,堡林,2022-04-18 21:00,14.5,,1.1,,13.2
156,堡林,2022-04-18 22:00,13.4,,2.3,,11.9
156,堡林,2022-04-18 23:00,13.4,,1.9,,11.3
156,堡林,2022-04-19 0:00,13.6,,1,,11.6
156,堡林,2022-04-19 1:00,12.8,,1.3,,11.2
156,堡林,2022-04-19 2:00,12.3,,0.4,,10.1
156,堡林,2022-04-19 3:00,11.3,,0,,8.9
156,堡林,2022-04-19 4:00,10.4,,0,,8.1
156,堡林,2022-04-19 5:00,10,,0,,7.5
156,堡林,2022-04-19 6:00,9.9,,1.3,0.05,7.1
