瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2022-07-24 0:00,23.8,0.7,4,,23.6
156,堡林,2022-07-24 1:00,23.4,11.1,2.2,,23.5
156,堡林,2022-07-24 2:00,23.9,1.6,2.3,,24
156,堡林,2022-07-24 3:00,24,0.2,2,,24.2
156,堡林,2022-07-24 4:00,24.2,0,1.9,,24.5
156,堡林,2022-07-24 5:00,23.9,0,3.8,,24.3
156,堡林,2022-07-24 6:00,23.4,0,2.5,0.06,24
156,堡林,2022-07-24 7:00,23.5,0,2.9,0.12,24.4
156,堡林,2022-07-24 8:00,23.4,0,3.8,0.29,25.1
156,堡林,2022-07-24 9:00,23.5,0.4,2.3,0.36,26.6
156,堡林,2022-07-24 10:00,24.3,0,2.2,0.92,28.8
156,堡林,2022-07-24 11:00,24,0,2.7,0.73,27.2
156,堡林,2022-07-24 12:00,24,0.3,2.9,0.72,28.5
156,堡林,2022-07-24 13:00,23.9,0.4,2.1,0.35,26.8
156,堡林,2022-07-24 14:00,24.1,0.2,2.3,0.43,27.1
156,堡林,2022-07-24 15:00,24.1,0,2.2,0.38,26.6
156,堡林,2022-07-24 16:00,24.3,0,1.9,0.43,26.8
156,堡林,2022-07-24 17:00,24.4,0,1.6,0.31,26.1
156,堡林,2022-07-24 18:00,24,0,1.5,0.13,25.4
156,堡林,2022-07-24 19:00,24.2,0,1.4,0.1,24.8
156,堡林,2022-07-24 20:00,24.1,0,1.3,0.07,24.5
156,堡林,2022-07-24 21:00,24,0,0.7,,24.3
156,堡林,2022-07-24 22:00,24,0,1.2,,24.3
156,堡林,2022-07-24 23:00,23.8,0,0.3,,24.1
156,堡林,2022-07-25 0:00,24,0,0.5,,24
156,堡林,2022-07-25 1:00,23.5,0,1.2,,24.1
156,堡林,2022-07-25 2:00,23.6,0,0.7,,24
156,堡林,2022-07-25 3:00,23.7,0,0.1,,24
156,堡林,2022-07-25 4:00,23.8,0,0,,23.9
156,堡林,2022-07-25 5:00,23.5,0,0,,23.9
156,堡林,2022-07-25 6:00,23.6,0,0,0.06,23.9
156,堡林,2022-07-25 7:00,23.9,0,0.2,0.16,24.9
156,堡林,2022-07-25 8:00,25.3,0,0.2,0.92,28.4
156,堡林,2022-07-25 9:00,25.5,0,0.5,0.81,29.8
156,堡林,2022-07-25 10:00,26,0,0,1.05,30.7
156,堡林,2022-07-25 11:00,27.3,0,1.2,1.46,33.8
156,堡林,2022-07-25 12:00,27.9,0,0.3,1.89,35.3
156,堡林,2022-07-25 13:00,28.8,0,0.8,1.7,37.3
156,堡林,2022-07-25 14:00,29.7,0,1.2,2.8,41.8
156,堡林,2022-07-25 15:00,30.5,0,1.2,2.5,39.9
156,堡林,2022-07-25 16:00,31.1,0,1.9,1.54,39.2
156,堡林,2022-07-25 17:00,30.2,0,1.2,1.84,35.2
156,堡林,2022-07-25 18:00,30.4,0,1.1,1.49,33.8
156,堡林,2022-07-25 19:00,29.1,0,0.9,0.64,28.9
156,堡林,2022-07-25 20:00,27.5,0,1.2,0.13,26.3
156,堡林,2022-07-25 21:00,26.8,0,0.7,,25.3
156,堡林,2022-07-25 22:00,25.7,0,1,,24.7
156,堡林,2022-07-25 23:00,25.3,0,0.4,,24.2
156,堡林,2022-07-26 0:00,25.2,0,0.9,,23.9
156,堡林,2022-07-26 1:00,25.2,0,0.4,,24.5
156,堡林,2022-07-26 2:00,24.8,0,0.4,,23.7
156,堡林,2022-07-26 3:00,24.3,0,0,,23.3
156,堡林,2022-07-26 4:00,24.3,0,0,,23
156,堡林,2022-07-26 5:00,24,0,0,,22.8
156,堡林,2022-07-26 6:00,24,0,0,0.07,24
156,堡林,2022-07-26 7:00,24.4,0,0.8,0.39,24.9
156,堡林,2022-07-26 8:00,25.4,0,1.4,0.7,28
156,堡林,2022-07-26 9:00,26.8,0,0.5,1.21,31.1
156,堡林,2022-07-26 10:00,27.5,0,0.6,1.38,33.5
156,堡林,2022-07-26 11:00,28.5,0,0.9,1.83,35.5
156,堡林,2022-07-26 12:00,29.6,0,1.4,2.03,39.1
156,堡林,2022-07-26 13:00,29.2,0,2.1,1.51,36.5
156,堡林,2022-07-26 14:00,30.4,0,0.9,1.73,37.7
156,堡林,2022-07-26 15:00,30.9,0,2.5,2.31,39.8
156,堡林,2022-07-26 16:00,31.2,0,1.5,1.8,38.3
156,堡林,2022-07-26 17:00,31.3,0,2.6,1.11,36.9
156,堡林,2022-07-26 18:00,29.8,0,2.6,1.01,33
156,堡林,2022-07-26 19:00,29.3,0,2,0.39,29.4
156,堡林,2022-07-26 20:00,28.1,0,1.8,0.09,27.2
156,堡林,2022-07-26 21:00,27.4,0,2,,26.5
156,堡林,2022-07-26 22:00,26.3,0,2.3,,25.4
156,堡林,2022-07-26 23:00,25.8,0,1.9,,24.7
156,堡林,2022-07-27 0:00,25.2,0,1,,24.2
156,堡林,2022-07-27 1:00,24.9,0,2.4,,23.7
156,堡林,2022-07-27 2:00,24,0,0,,23
156,堡林,2022-07-27 3:00,24,0,1,,22.7
156,堡林,2022-07-27 4:00,23.2,0,1.1,,22.2
156,堡林,2022-07-27 5:00,23.1,0,0,,21.7
156,堡林,2022-07-27 6:00,23.2,0,0.5,0.07,21.7
156,堡林,2022-07-27 7:00,23.7,0,0.5,0.44,23.6
156,堡林,2022-07-27 8:00,25.3,0,0.7,0.98,27.2
156,堡林,2022-07-27 9:00,27,0,0.4,1.81,31.8
156,堡林,2022-07-27 10:00,28,0,0.3,2.31,37.1
156,堡林,2022-07-27 11:00,29.5,0,1.2,2.83,41.8
156,堡林,2022-07-27 12:00,30.2,0,3.3,3,44.7
156,堡林,2022-07-27 13:00,31.1,0,2.3,3.45,46.1
156,堡林,2022-07-27 14:00,31.3,0,3.4,3.42,49.2
156,堡林,2022-07-27 15:00,31.3,0,2.1,2.81,46.2
156,堡林,2022-07-27 16:00,30.7,0,2,1.95,40.7
156,堡林,2022-07-27 17:00,29.7,0,2.4,1.17,36.1
156,堡林,2022-07-27 18:00,29.6,0,3.1,0.69,34.6
156,堡林,2022-07-27 19:00,28.5,0,2.4,0.5,31.2
156,堡林,2022-07-27 20:00,27.6,0,2.3,0.11,28.4
156,堡林,2022-07-27 21:00,27.2,0,1.8,,26.9
156,堡林,2022-07-27 22:00,26.8,0,1.3,,26.1
156,堡林,2022-07-27 23:00,26.4,0,1.5,,25.5
156,堡林,2022-07-28 0:00,25.8,0,0.4,,25.1
156,堡林,2022-07-28 1:00,25.4,0,0.4,,24.7
156,堡林,2022-07-28 2:00,25.2,0,0.1,,24.3
156,堡林,2022-07-28 3:00,24.9,0,0.2,,24
156,堡林,2022-07-28 4:00,24.5,0,0.4,,23.6
