瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2022-01-01 0:00,-4.1,,2.8,,-1.1
156,堡林,2022-01-01 1:00,-4.2,,2,,-1.3
156,堡林,2022-01-01 2:00,-4.3,,1.6,,-1.4
156,堡林,2022-01-01 3:00,-4.1,,2.9,,-1.3
156,堡林,2022-01-01 4:00,-4,,3.2,,-1.4
156,堡林,2022-01-01 5:00,-4.7,,1.6,,-1.8
156,堡林,2022-01-01 6:00,-4.6,,2.9,,-2.1
156,堡林,2022-01-01 7:00,-5.1,,1.7,,-2.4
156,堡林,2022-01-01 8:00,-5,,0.5,0.07,-2.6
156,堡林,2022-01-01 9:00,-3.6,,1.2,0.44,-2.2
156,堡林,2022-01-01 10:00,-2.6,,0.9,0.99,-1.2
156,堡林,2022-01-01 11:00,-0.8,,1,1.06,-0.3
156,堡林,2022-01-01 12:00,1.5,,2.3,1.98,0.5
156,堡林,2022-01-01 13:00,3.2,,1.7,2.18,1.8
156,堡林,2022-01-01 14:00,4.9,,0.8,2,3.5
156,堡林,2022-01-01 15:00,5,,0.9,1.43,4.4
156,堡林,2022-01-01 16:00,5,,0.9,1.18,4.7
156,堡林,2022-01-01 17:00,4.4,,1.3,0.48,2.4
156,堡林,2022-01-01 18:00,3.7,,0.8,0.1,1.1
156,堡林,2022-01-01 19:00,2.8,,0.1,,0.8
156,堡林,2022-01-01 20:00,2.2,,0.8,,0.6
156,堡林,2022-01-01 21:00,1.5,,0.5,,0.5
156,堡林,2022-01-01 22:00,1,,0,,0.3
156,堡林,2022-01-01 23:00,0,,0.7,,0
156,堡林,2022-01-02 0:00,-0.4,,0.2,,-0.3
156,堡林,2022-01-02 1:00,-0.8,,0.4,,-0.5
156,堡林,2022-01-02 2:00,-1.5,,0.3,,-0.9
156,堡林,2022-01-02 3:00,-2.3,,0,,-1.1
156,堡林,2022-01-02 4:00,-2.6,,0,,-1.4
156,堡林,2022-01-02 5:00,-2.2,,0.4,,-1.6
156,堡林,2022-01-02 6:00,-3.1,,0.4,,-1.7
156,堡林,2022-01-02 7:00,-3.2,,0.1,,-1.1
156,堡林,2022-01-02 8:00,-2.5,,0.2,0.06,-1
156,堡林,2022-01-02 9:00,-1.6,,0.2,0.25,-0.5
156,堡林,2022-01-02 10:00,-0.3,,0.8,0.5,-0.1
156,堡林,2022-01-02 11:00,1,,0.5,0.99,0.1
156,堡林,2022-01-02 12:00,2.2,,0.4,0.76,0.8
156,堡林,2022-01-02 13:00,4.3,,0.3,1.36,2.1
156,堡林,2022-01-02 14:00,5.7,,0.9,1.06,4.9
156,堡林,2022-01-02 15:00,6.5,,1.2,0.9,6.1
156,堡林,2022-01-02 16:00,5.9,,2.3,1.03,5.8
156,堡林,2022-01-02 17:00,4.7,,1.2,0.43,3
156,堡林,2022-01-02 18:00,3.5,,1,0.09,1
156,堡林,2022-01-02 19:00,1.8,,0.5,,0.8
156,堡林,2022-01-02 20:00,2.1,,1.1,,0.5
156,堡林,2022-01-02 21:00,0.9,,1.1,,0.1
156,堡林,2022-01-02 22:00,0.1,,1.3,,-0.2
156,堡林,2022-01-02 23:00,-0.2,,0.1,,-0.7
156,堡林,2022-01-03 0:00,-0.7,,0,,-0.9
156,堡林,2022-01-03 1:00,-1.9,,1.5,,-1.2
156,堡林,2022-01-03 2:00,-1.8,,0.4,,-1.6
156,堡林,2022-01-03 3:00,-2.9,,1.1,,-1.9
156,堡林,2022-01-03 4:00,-3.2,,0.2,,-2.2
156,堡林,2022-01-03 5:00,-3.7,,0,,-2.5
156,堡林,2022-01-03 6:00,-3.9,,0,,-2.8
156,堡林,2022-01-03 7:00,-3.8,,0.1,,-3.1
156,堡林,2022-01-03 8:00,-4.2,,0.3,0.07,-3.3
156,堡林,2022-01-03 9:00,-3.3,,1,0.6,-2.7
156,堡林,2022-01-03 10:00,-1.3,,0.8,1.38,-1.3
156,堡林,2022-01-03 11:00,1,,0.6,1.79,-0.1
156,堡林,2022-01-03 12:00,3.2,,1.1,1.99,0.8
156,堡林,2022-01-03 13:00,5.4,,1.7,2.11,2.6
156,堡林,2022-01-03 14:00,6.2,,0.9,1.94,4.7
156,堡林,2022-01-03 15:00,6.3,,1.2,1.61,5.6
156,堡林,2022-01-03 16:00,5.9,,1.2,1.1,4.8
156,堡林,2022-01-03 17:00,4.9,,1,0.5,2.4
156,堡林,2022-01-03 18:00,3.3,,1.8,0.09,1.1
156,堡林,2022-01-03 19:00,2,,1.4,,0.7
156,堡林,2022-01-03 20:00,1.2,,1,,0.3
156,堡林,2022-01-03 21:00,1.1,,0.2,,0
156,堡林,2022-01-03 22:00,0.7,,0.4,,-0.2
156,堡林,2022-01-03 23:00,0.3,,0.1,,-0.4
156,堡林,2022-01-04 0:00,-0.3,,0.6,,-0.7
156,堡林,2022-01-04 1:00,-1,,1.2,,-0.5
156,堡林,2022-01-04 2:00,-1,,1.3,,-0.5
156,堡林,2022-01-04 3:00,-0.4,,0,,-0.4
156,堡林,2022-01-04 4:00,0,,0.1,,-0.2
156,堡林,2022-01-04 5:00,0.1,,0.1,,-0.1
156,堡林,2022-01-04 6:00,0.5,,0.1,,-0.2
156,堡林,2022-01-04 7:00,0.1,,0.9,,-0.2
156,堡林,2022-01-04 8:00,-0.5,,0,0.07,-0.7
156,堡林,2022-01-04 9:00,0.7,,1.1,0.32,-0.3
156,堡林,2022-01-04 10:00,3.2,,0.3,0.85,-0.1
156,堡林,2022-01-04 11:00,4.2,,1,1.41,0.3
156,堡林,2022-01-04 12:00,5.5,,3.1,1.89,2.2
156,堡林,2022-01-04 13:00,6.1,,1.3,2.11,5.9
156,堡林,2022-01-04 14:00,6.3,,2,2.07,7.9
156,堡林,2022-01-04 15:00,6.6,,1.2,1.73,8.2
156,堡林,2022-01-04 16:00,6,,1.3,1.2,6.2
156,堡林,2022-01-04 17:00,4.9,,1.6,0.59,3.2
156,堡林,2022-01-04 18:00,3,,2.4,0.1,1
156,堡林,2022-01-04 19:00,1.8,,1.4,,0.9
